,2015,2016,2017,2018,2019,Delta
Tanzania,146.0,149.0,153.0,153.0,153.0,-7.0
Congo (Kinshasa),120.0,125.0,126.0,132.0,127.0,-7.0
China,84.0,83.0,79.0,86.0,93.0,-9.0
Mexico,14.0,21.0,25.0,24.0,23.0,-9.0
Kyrgyzstan,77.0,85.0,98.0,92.0,86.0,-9.0
Libya,63.0,67.0,68.0,70.0,72.0,-9.0
Paraguay,53.0,70.0,70.0,64.0,63.0,-10.0
Colombia,33.0,31.0,36.0,37.0,43.0,-10.0
Bolivia,51.0,59.0,58.0,62.0,61.0,-10.0
Singapore,24.0,22.0,26.0,34.0,34.0,-10.0
Azerbaijan,80.0,81.0,85.0,87.0,90.0,-10.0
Albania,95.0,109.0,109.0,112.0,107.0,-12.0
Ethiopia,122.0,115.0,119.0,127.0,134.0,-12.0
Japan,46.0,53.0,51.0,54.0,58.0,-12.0
Kuwait,39.0,41.0,39.0,45.0,51.0,-12.0
Croatia,62.0,74.0,77.0,82.0,75.0,-13.0
Iraq,112.0,112.0,117.0,117.0,126.0,-14.0
Yemen,136.0,147.0,146.0,152.0,151.0,-15.0
Bhutan,79.0,84.0,97.0,97.0,95.0,-16.0
Bangladesh,109.0,110.0,110.0,115.0,125.0,-16.0
Brazil,16.0,17.0,22.0,28.0,32.0,-16.0
Tunisia,107.0,98.0,102.0,111.0,124.0,-17.0
Argentina,30.0,26.0,24.0,29.0,47.0,-17.0
Turkmenistan,70.0,65.0,59.0,68.0,87.0,-17.0
Indonesia,74.0,79.0,81.0,96.0,92.0,-18.0
Thailand,34.0,33.0,32.0,46.0,52.0,-18.0
Jordan,82.0,80.0,74.0,90.0,101.0,-19.0
Vietnam,75.0,96.0,94.0,95.0,94.0,-19.0
Malawi,131.0,132.0,136.0,147.0,150.0,-19.0
Moldova,52.0,55.0,56.0,67.0,71.0,-19.0
Malaysia,61.0,47.0,42.0,35.0,80.0,-19.0
Algeria,68.0,38.0,53.0,84.0,88.0,-20.0
Botswana,128.0,137.0,142.0,146.0,148.0,-20.0
Belarus,59.0,61.0,67.0,73.0,81.0,-22.0
Ukraine,111.0,123.0,132.0,138.0,133.0,-22.0
India,117.0,118.0,122.0,133.0,140.0,-23.0
Liberia,116.0,150.0,148.0,149.0,141.0,-25.0
Haiti,119.0,136.0,145.0,148.0,147.0,-28.0
Zimbabwe,115.0,131.0,138.0,144.0,146.0,-31.0
Zambia,85.0,106.0,116.0,125.0,138.0,-53.0
Venezuela,23.0,44.0,82.0,102.0,108.0,-85.0
